Num,District,Park_division,Park_name,Road_address ,Parcel_address,Park_overview,Park_area,Main_facility,Sporting_goods,Guidemap,Direction,Use_notes,Image,Park_number,Latitude,Longitude,Shortcut,Grade,Keyword
1,강남구,근린공원,신사근린공원,,서울특별시 강남구 압구정동 422,,6800,,파도타기 등 8종,,,,,02-3423-6245,37.526708,127.021458,,,운동
2,강남구,근린공원,대청근린공원,,서울특별시 강남구 일원동 621,,14089.1,,달리기 운동 등 10종,,,,,02-3423-6245,37.49319912,127.0830019,,,운동
3,강남구,근린공원,늘푸른근린공원,,서울특별시 강남구 일원동 690,,11410.3,,철봉 3단 등 15종,,,,,02-3423-6245,37.489885,127.077436,,,운동
4,강남구,근린공원,개포서근린공원,,서울특별시 강남구 개포동 180 외 2필지,,11219.2,,스텝싸이클 등 4종,,,,,02-3423-6245,37.488628,127.064142,,,운동
5,강남구,근린공원,개포동근린공원,,서울특별시 강남구 개포동 182-1 외 2필지,,9705.6,,철봉 등 15종,,,,,02-3423-6245,37.489686,127.059526,,,운동
6,강남구,근린공원,대치근린공원,,서울특별시 강남구 대치동 512,,10408.9,,평행봉 등 16종,,,,,02-3423-6245,37.495123,127.061109,,,운동
7,강남구,근린공원,늘벗근린공원,,서울특별시 강남구 대치동 501,,19812.3,,허리돌리기 등 14종,,,,,02-3423-6245,37.489623,127.048394,,,운동
8,강남구,근린공원,독골근린공원,,서울특별시 강남구 도곡동 461,,10022.9,,철봉 등 12종,,,,,02-3423-6245,37.484552,127.0468249,,,운동
9,강남구,근린공원,포이근린공원,,서울특별시 강남구 개포동 1239-21 외 5필지,,16811.4,,상체근육풀기 등 5종,,,,,02-3423-6245,37.479681,127.036037,,,운동
10,강남구,근린공원,청룡근린공원,,서울특별시 강남구 개포동 649-1,,9367,,온몸허리돌리기 등 12종,,,,,02-3423-6245,37.485594,127.045605,,,운동
11,강남구,근린공원,배밭근린공원,,서울특별시 강남구 개포동 181 외 1필지,,11627.2,,허리돌리기 등 7종,,,,,02-3423-6245,37.488738,127.053642,,,운동
12,강남구,근린공원,학여울근린공원,,서울특별시 강남구 개포동 183-1 외 1필지,,12505.6,,체어웨이스트 등 9종,,,,,02-3423-6245,37.491018,127.059561,,,운동
13,강남구,근린공원,청수근린공원,,서울특별시 강남구 청담동 134-13 외 12필지,,17402,,철봉 등 9종,,,,,02-3423-6245,37.523249,127.049676,,,운동
14,강남구,근린공원,청담근린공원,,서울특별시 강남구 청담동 66 외 4필지,청담공원은 고층 아파트와 단독주택지 상가가 밀집된 청담동에 위치한 산지형 공원으로 도심의 중요한 자연공간이다. 공원에 들어서면 마치 숲 속에 들어온 듯한 착각을 일으킬 정도로 실개천의 물소리와 산새들의 새소리가 들리며 산을 올라가면 다양한 운동을 할 수 있는 운동공간과 시를 읽으며 산책할 수 있는 시비 광장이 조성되어 있다. 또한 공원 내 위치한 청소년회관은 청소년과 공원 이용객들에게 수준 높은 문화 프로그램을 제공한다. ,59347,"청소년회관, 시비광장, 실개천, 배드민턴장, 농구장, 약수터, 운동광장 등 ",철봉 등 17종,,,,http://parks.seoul.go.kr/file/info/view.do?fIdx=1948,02-3423-6245,37.520727,127.035334,,,"운동, 산책"
15,강남구,근린공원,한티근린공원,,서울특별시 강남구 대치동 212-1 외 13필지,,19200,,파도타기 등 4종,,,,,02-3423-6245,37.494917,127.053606,,,운동
